Age,"From population norm, d = 0%","From population norm, d = 15%","From perfect health, d = 0%","From perfect health, d = 15%"
50,0.046 (0.041 - 0.051),0.046 (0.041 - 0.051),0.095 (0.086 - 0.104),0.095 (0.086 - 0.104)
51,0.046 (0.041 - 0.051),0.046 (0.041 - 0.051),0.096 (0.087 - 0.105),0.096 (0.087 - 0.105)
52,0.046 (0.041 - 0.050),0.046 (0.041 - 0.050),0.097 (0.088 - 0.106),0.096 (0.088 - 0.105)
53,0.046 (0.041 - 0.050),0.046 (0.041 - 0.050),0.098 (0.089 - 0.106),0.097 (0.089 - 0.106)
54,0.045 (0.041 - 0.050),0.045 (0.041 - 0.050),0.098 (0.090 - 0.107),0.098 (0.090 - 0.107)
55,0.045 (0.041 - 0.050),0.045 (0.041 - 0.050),0.099 (0.091 - 0.108),0.099 (0.091 - 0.108)
56,0.045 (0.041 - 0.049),0.045 (0.041 - 0.049),0.100 (0.092 - 0.109),0.100 (0.092 - 0.109)
57,0.045 (0.041 - 0.049),0.045 (0.041 - 0.049),0.101 (0.093 - 0.110),0.101 (0.093 - 0.110)
58,0.045 (0.040 - 0.049),0.045 (0.040 - 0.049),0.103 (0.094 - 0.111),0.102 (0.094 - 0.111)
59,0.045 (0.040 - 0.049),0.045 (0.040 - 0.049),0.104 (0.095 - 0.112),0.103 (0.095 - 0.112)
60,0.044 (0.040 - 0.049),0.044 (0.040 - 0.049),0.105 (0.097 - 0.114),0.104 (0.096 - 0.113)
61,0.044 (0.040 - 0.049),0.044 (0.040 - 0.048),0.106 (0.098 - 0.115),0.106 (0.098 - 0.114)
62,0.044 (0.039 - 0.048),0.044 (0.039 - 0.048),0.107 (0.099 - 0.116),0.107 (0.099 - 0.115)
63,0.043 (0.039 - 0.048),0.043 (0.039 - 0.048),0.108 (0.099 - 0.117),0.108 (0.099 - 0.116)
64,0.043 (0.038 - 0.047),0.043 (0.038 - 0.047),0.109 (0.100 - 0.118),0.109 (0.100 - 0.118)
65,0.042 (0.038 - 0.047),0.042 (0.038 - 0.047),0.110 (0.101 - 0.119),0.110 (0.101 - 0.119)
66,0.042 (0.037 - 0.047),0.042 (0.037 - 0.046),0.111 (0.102 - 0.121),0.111 (0.102 - 0.120)
67,0.041 (0.037 - 0.046),0.041 (0.037 - 0.046),0.112 (0.103 - 0.122),0.112 (0.103 - 0.122)
68,0.040 (0.036 - 0.045),0.040 (0.036 - 0.045),0.113 (0.104 - 0.124),0.113 (0.104 - 0.123)
69,0.040 (0.035 - 0.045),0.040 (0.035 - 0.045),0.114 (0.105 - 0.125),0.114 (0.105 - 0.125)
70,0.039 (0.034 - 0.044),0.039 (0.034 - 0.044),0.115 (0.106 - 0.126),0.115 (0.106 - 0.126)
71,0.038 (0.034 - 0.043),0.038 (0.034 - 0.043),0.117 (0.107 - 0.128),0.116 (0.107 - 0.128)
72,0.037 (0.033 - 0.043),0.037 (0.033 - 0.042),0.118 (0.107 - 0.129),0.118 (0.107 - 0.129)
73,0.037 (0.032 - 0.042),0.036 (0.032 - 0.042),0.119 (0.108 - 0.131),0.119 (0.108 - 0.131)
74,0.036 (0.031 - 0.041),0.035 (0.031 - 0.041),0.120 (0.109 - 0.132),0.120 (0.108 - 0.132)
75,0.034 (0.030 - 0.040),0.034 (0.030 - 0.040),0.121 (0.109 - 0.134),0.121 (0.109 - 0.134)
76,0.033 (0.029 - 0.039),0.033 (0.029 - 0.039),0.122 (0.110 - 0.135),0.122 (0.110 - 0.135)
77,0.032 (0.028 - 0.037),0.032 (0.028 - 0.037),0.123 (0.110 - 0.137),0.123 (0.110 - 0.137)
78,0.031 (0.026 - 0.036),0.031 (0.026 - 0.036),0.124 (0.111 - 0.139),0.124 (0.111 - 0.138)
79,0.030 (0.025 - 0.035),0.030 (0.025 - 0.035),0.125 (0.112 - 0.140),0.125 (0.112 - 0.140)
80,0.029 (0.025 - 0.034),0.029 (0.025 - 0.034),0.126 (0.112 - 0.141),0.126 (0.112 - 0.141)
81,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.127 (0.112 - 0.143),0.126 (0.112 - 0.143)
82,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.127 (0.113 - 0.144),0.127 (0.112 - 0.144)
83,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.128 (0.113 - 0.145),0.128 (0.113 - 0.145)
84,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.129 (0.113 - 0.147),0.128 (0.113 - 0.146)
85,0.028 (0.024 - 0.034),0.028 (0.024 - 0.034),0.129 (0.113 - 0.148),0.129 (0.113 - 0.147)
86,0.028 (0.024 - 0.034),0.028 (0.024 - 0.034),0.130 (0.113 - 0.148),0.129 (0.113 - 0.148)
87,0.028 (0.024 - 0.034),0.028 (0.023 - 0.034),0.130 (0.113 - 0.149),0.130 (0.113 - 0.149)
88,0.028 (0.023 - 0.034),0.028 (0.023 - 0.033),0.130 (0.113 - 0.150),0.130 (0.112 - 0.149)
89,0.028 (0.023 - 0.033),0.028 (0.023 - 0.033),0.130 (0.112 - 0.150),0.130 (0.112 - 0.150)
90,0.027 (0.023 - 0.033),0.027 (0.023 - 0.033),0.130 (0.112 - 0.150),0.130 (0.112 - 0.150)
91,0.027 (0.023 - 0.033),0.027 (0.022 - 0.033),0.130 (0.111 - 0.151),0.130 (0.111 - 0.150)
92,0.027 (0.022 - 0.032),0.027 (0.022 - 0.032),0.130 (0.110 - 0.151),0.129 (0.110 - 0.150)
93,0.026 (0.022 - 0.032),0.026 (0.022 - 0.032),0.129 (0.109 - 0.150),0.129 (0.109 - 0.150)
94,0.026 (0.022 - 0.031),0.026 (0.021 - 0.031),0.128 (0.109 - 0.150),0.128 (0.108 - 0.150)
95,0.026 (0.021 - 0.031),0.025 (0.021 - 0.031),0.127 (0.108 - 0.149),0.127 (0.108 - 0.149)
96,0.025 (0.021 - 0.030),0.025 (0.021 - 0.030),0.126 (0.107 - 0.148),0.126 (0.107 - 0.148)
97,0.025 (0.020 - 0.030),0.024 (0.020 - 0.030),0.125 (0.105 - 0.146),0.125 (0.105 - 0.146)
98,0.024 (0.020 - 0.029),0.024 (0.020 - 0.029),0.122 (0.103 - 0.142),0.122 (0.103 - 0.142)
